Beginning scenario InputSection
SECTION Individual kepresses
Test 1: success
Test 2: success
Test 3: success
Test 4: success
Test 5: success
Test 6: success
Test 7: success
Test 8: success
Test 9: success
Test 10: success
Test 11: success
Test 12: success
Test 13: success
Test 14: success
Test 15: success
Test 16: success
Test 17: success
Test 18: success
Test 19: success
Test 20: success
Test 21: success
Test 22: success
Test 23: success
Test 24: success
Successful so far

SECTION Double and triple digit presses
Test 25: success
Test 26: success
Test 27: success
Test 28: success
Test 29: success
Test 30: success
Test 31: success
Test 32: success
Test 33: success
Test 34: success
Test 35: success
Test 36: success
Test 37: success
Test 38: success
Test 39: success
Test 40: success
Test 41: success
Test 42: success
Test 43: success
Test 44: success
Successful so far

SECTION Disable input
Test 45: success
Test 46: success
Test 47: success
Test 48: success
Test 49: success
Test 50: success
Test 51: success
Test 52: success
Test 53: success
Test 54: success
Test 55: success
Test 56: success
Successful so far

SECTION Enter, clear and digits should be mutually exclusive
Test 57: success
Test 58: success
Test 59: success
Test 60: success
Test 61: success
Test 62: success
Test 63: success
Test 64: success
Test 65: success
Test 66: success
Test 67: success
Test 68: success
Test 69: success
Test 70: success
Test 71: success
Test 72: success
Test 73: success
Test 74: success
Test 75: success
Test 76: success
Test 77: success
Test 78: success
Test 79: success
Test 80: success
Test 81: success
Test 82: success
Test 83: success
Test 84: success
Test 85: success
Test 86: success
Test 87: success
Test 88: success
Test 89: success
Test 90: success
Test 91: success
Test 92: success
Test 93: success
Test 94: success
Test 95: success
Test 96: success
Test 97: success
Test 98: success
Test 99: success
Test 100: success
Test 101: success
Test 102: success
Test 103: success
Test 104: success
Test 105: success
Test 106: success
Test 107: success
Test 108: success
Test 109: success
Test 110: success
Test 111: success
Test 112: success
Test 113: success
Test 114: success
Test 115: success
Test 116: success
Test 117: success
Test 118: success
Test 119: success
Test 120: success
Test 121: success
Test 122: success
Test 123: success
Test 124: success
Test 125: success
Test 126: success
Test 127: success
Test 128: success
Test 129: success
Test 130: success
Test 131: success
Test 132: success
Test 133: success
Test 134: success
Test 135: success
Test 136: success
Test 137: success
Test 138: success
Test 139: success
Test 140: success
Test 141: success
Test 142: success
Test 143: success
Test 144: success
Test 145: success
Test 146: success
Test 147: success
Test 148: success
Test 149: success
Test 150: success
Test 151: success
Test 152: success
Test 153: success
Test 154: success
Test 155: success
Test 156: success
Test 157: success
Test 158: success
Successful so far
Scenario InputSection completed successfully
